file,elapsed_time
contracts/Bank/Bank_withdraw-revert_v2.sol,2.91
contracts/Bank/Bank_user-balance-inc-onlyif-deposit_v2.sol,3.83
contracts/Bank/Bank_user-balance-dec-onlyif-withdraw_v1.sol,4.02
contracts/Bank/Bank_withdraw-contract-balance_v1.sol,3.39
contracts/Bank/Bank_deposit-user-balance_v1.sol,3.19
contracts/Bank/Bank_user-balance-inc-onlyif-deposit_v1.sol,4.01
contracts/Bank/Bank_withdraw-sender-rcv_v2.sol,3.32
contracts/Bank/Bank_deposit-user-balance_v2.sol,3.62
contracts/Bank/Bank_withdraw-user-balance_v1.sol,3.16
contracts/Bank/Bank_deposit-contract-balance_v1.sol,3.21
contracts/Bank/Bank_deposit-contract-balance_v2.sol,3.17
contracts/Bank/Bank_withdraw-sender-rcv_v1.sol,3.21
contracts/Bank/Bank_user-balance-dec-onlyif-withdraw_v2.sol,3.87
contracts/Bank/Bank_withdraw-sender-rcv-EOA_v1.sol,3.18
contracts/Bank/Bank_withdraw-user-balance_v2.sol,3.15
contracts/Bank/Bank_withdraw-contract-balance_v2.sol,3.19
contracts/Bank/Bank_withdraw-revert_v1.sol,3.18
contracts/Bank/Bank_withdraw-sender-rcv-EOA_v2.sol,3.21
contracts/deposit_erc20/DepositERC20_wd-contract-bal_v1.sol,8.10
contracts/deposit_erc20/DepositERC20_wd-leq-init-bal_v1.sol,8.00
contracts/deposit_erc20/DepositERC20_no-deposit-twice_v1.sol,7.48
contracts/zerotoken_bank/ZeroTokenBank_cbal-ge-bal_v7.sol,3.55
contracts/zerotoken_bank/ZeroTokenBank_cbal-nonneg_v7.sol,3.81
contracts/zerotoken_bank/ZeroTokenBank_cbal-ge-bal_v5.sol,3.69
contracts/zerotoken_bank/ZeroTokenBank_dep-inc-snd-bal_v1.sol,3.38
contracts/zerotoken_bank/ZeroTokenBank_cbal-nonneg_v2.sol,3.59
contracts/zerotoken_bank/ZeroTokenBank_dep-inc-snd-bal_v4.sol,3.59
